text,openness,conscientiousness,extraversion,agreeableness,neuroticism
I prefer familiar routines and predictable environments. I always try to help others and put their needs first. I believe in cooperation and finding win-win solutions. I worry about what others think of me. I focus on realistic goals and tangible outcomes. I trust people and give them the benefit of the doubt. I feel anxious about this.,0.11334460384734131,0.2655889094807913,0.815216913937151,0.5892252436108623,0.8802059940707025
"I always plan ahead and organize my tasks carefully. I prioritize my own goals and needs first. I believe in being direct and honest, even if it's uncomfortable.",0.393829402461872,0.6595585992072858,0.08865922957424575,0.006124491285037836,0.5505583824239222
I get excited about networking and building relationships. I often worry about things that might go wrong. I believe in discipline and maintaining high standards. I enjoy being the center of attention and leading conversations. I believe in cooperation and finding win-win solutions. I trust people and give them the benefit of the doubt. I feel social about this.,0.44233505077245,0.44371041356311747,0.7435036572089767,0.4101597301818996,0.6152686618522497
I believe in cooperation and finding win-win solutions. I find myself drawn to creative pursuits and artistic expression. I'm comfortable speaking up in groups and sharing my ideas. I feel outgoing about this.,0.40951349358488726,0.519422630652614,0.8570779725487907,0.7109521373884027,0.22468901069699898
I need time alone to recharge and reflect on my thoughts. I always try to help others and put their needs first. I enjoy abstract thinking and philosophical discussions about life and meaning. I avoid conflict and try to maintain harmony in relationships. I prefer listening to others rather than dominating conversations. I'm resilient and bounce back quickly from setbacks. I feel imaginative about this.,0.9399527271070731,0.1452137594733041,0.4092740329341386,0.6067117888578635,0.20622524549725035
I avoid conflict and try to maintain harmony in relationships. I often worry about things that might go wrong. I prefer familiar routines and predictable environments. I prefer to keep my options open rather than committing to rigid plans. I value tradition and established ways of doing things. I feel anxious about this.,0.31632923919279426,0.2521835761613327,0.49645100907503137,0.8846839179725025,0.7951848831403031
I tend to be moody and my emotions change frequently. I believe in proven methods and established practices. I prefer to keep my options open rather than committing to rigid plans. I'm comfortable speaking up in groups and sharing my ideas. I prefer familiar routines and predictable environments. I adapt quickly to changing situations and new opportunities. I feel exciting about this.,0.0938727508090041,0.1786046970957255,0.8238125778238409,0.8686337646914659,0.8051141967568769
"I prefer listening to others rather than dominating conversations. I focus on realistic goals and tangible outcomes. I prefer quiet, intimate conversations with close friends. I work best in peaceful, focused environments. I tend to be moody and my emotions change frequently. I find inspiration in the moment and go with the flow.",0.28807641691946545,0.43842249936707445,0.3764128630873115,0.16713456833011262,0.86376008246102
I love meeting new people and social gatherings energize me. I'm comfortable speaking up in groups and sharing my ideas. I tend to be moody and my emotions change frequently. I thrive in team environments and collaborative projects. I feel concerned about this.,0.17846432833275308,0.24329638472463183,0.7020346061442893,0.23056420421437648,0.8122370381090243
I worry about what others think of me. I feel stressed easily and have trouble managing anxiety. I work best when I can be flexible and spontaneous.,0.6291364299866365,0.39296415148284114,0.14453571288345865,0.34877197857042486,0.46538000495263443
I often worry about things that might go wrong. I enjoy being the center of attention and leading conversations. I often feel overwhelmed by life's challenges. I compete to win and don't back down from challenges. I work best when I can be flexible and spontaneous. I get excited about networking and building relationships.,0.468242974532428,0.20010855222710253,0.5670758495197384,0.376583213685528,0.47321019227252975
"I trust people and give them the benefit of the doubt. I prefer practical, concrete solutions to everyday problems. I thrive in team environments and collaborative projects.",0.31322920285329653,0.8776822470384544,0.4448623005231748,0.5715259829206637,0.7018528061768069
"I maintain an optimistic outlook on life. I'm resilient and bounce back quickly from setbacks. I love traveling to new places and experiencing different cultures. I prefer listening to others rather than dominating conversations. I find myself drawn to creative pursuits and artistic expression. I value deep, meaningful connections over large social networks. I work best in peaceful, focused environments.",0.6149875594642088,0.49910520536217023,0.31145194986841823,0.4789126782753398,0.36787256439630944
"I avoid conflict and try to maintain harmony in relationships. I always try to help others and put their needs first. I'm always curious about different perspectives and unconventional approaches. I prefer quiet, intimate conversations with close friends.",0.6893414027100194,0.33324816994416706,0.28796363743507375,0.8690310734176621,0.718341605831924
